Springfield Devs,,,,,,,,,
Journal,,,,,,,,,
"January - August, 2021",,,,,,,,,
,,,,,,,,,
,Date,Transaction Type,Num,Adj,Name,Memo/Description,Account,Debit,Credit
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,02/08/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,02/08/2021,Expenditure,,No,,,Devs Checking (7527),,232.48  
,,,,No,,"NAME.COM, INC DBT CRD 1221 02/06/21 DBH791RU",Devs:Devs Software & Hosting,232.48  ,
,,,,,,,,$232.48  ,$232.48  
,,,,,,,,,
,02/11/2021,Payment,,No,Self Interactive,Paid via QuickBooks Payments: Payment ID aoz5yxgx,Undeposited Funds,600.00  ,
,,,,No,,,Accounts Receivable (A/R),,600.00  
,,,,,,,,$600.00  ,$600.00  
,,,,,,,,,
,02/11/2021,Deposit,,No,Self Interactive,System-recorded deposit for QuickBooks Payments,Devs Checking (7527),600.00  ,
,,,,No,,Paid via QuickBooks Payments: Payment ID aoz5yxgx,Undeposited Funds,,600.00  
,,,,,,,,$600.00  ,$600.00  
,,,,,,,,,
,02/11/2021,Expenditure,,No,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs Checking (7527),,6.00  
,,,,No,,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs:Devs Payment Fees (Intuit),6.00  ,
,,,,,,,,$6.00  ,$6.00  
,,,,,,,,,
,03/01/2021,Bill,,No,Zoom Video,,Accounts Payable (A/P),,14.99  
,,,,No,,Zoom Pro Monthly Subscription,Devs:Devs Software & Hosting,14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,03/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,03/02/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),,14.99  
,,,,No,,,Accounts Payable (A/P),14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,03/02/2021,Pledge,1180,No,Hearo Technologies,,Accounts Receivable (A/R),600.00  ,
,,,,No,,Tier 1 Sponsor benefits for 12 months,Devs Revenue:Devs Sponsorships,,600.00  
,,,,,,,,$600.00  ,$600.00  
,,,,,,,,,
,03/03/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,03/03/2021,Expenditure,,No,Amazon Web Services,,Devs Checking (7527),,9.42  
,,,,No,,AMAZON WEB SERVICES DBT CRD 2340 03/03/21 DBJVUWQ6,Devs:Devs Software & Hosting,9.42  ,
,,,,,,,,$9.42  ,$9.42  
,,,,,,,,,
,03/03/2021,Payment,,No,Hearo Technologies,,Devs Checking (7527),600.00  ,
,,,,No,,,Accounts Receivable (A/R),,600.00  
,,,,,,,,$600.00  ,$600.00  
,,,,,,,,,
,03/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,03/09/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,04/01/2021,Bill,,No,Zoom Video,,Accounts Payable (A/P),,14.99  
,,,,No,,Zoom Pro Monthly Subscription,Devs:Devs Software & Hosting,14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,04/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,04/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,04/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,04/05/2021,Expenditure,,No,Amazon Web Services,,Devs Checking (7527),,10.25  
,,,,No,,DBT CRD 0632 DBWLJUXT AMAZON WEB SERVICES AWS.AMAZON.CO WA C#4443,Devs:Devs Software & Hosting,10.25  ,
,,,,,,,,$10.25  ,$10.25  
,,,,,,,,,
,04/05/2021,Bill Payment (Check),,No,Zoom Video,,Devs Checking (7527),,14.99  
,,,,No,,,Accounts Payable (A/P),14.99  ,
,,,,,,,,$14.99  ,$14.99  
,,,,,,,,,
,04/08/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,04/09/2021,Expenditure,,No,,,Devs Checking (7527),,17.98  
,,,,No,,"DBT CRD 1258 DBJV2B7Q NAME.COM, INC 7202492374 CO C#4443",Devs:Devs Office Supplies,17.98  ,
,,,,,,,,$17.98  ,$17.98  
,,,,,,,,,
,04/15/2021,Expenditure,,No,Meetup.com,,Devs Checking (7527),,98.94  
,,,,No,,DBT CRD 0609 DBJ5MLTB MEETUP ORG SUB 6M 6468384815 NY C#4443,Devs:Devs Office Supplies,98.94  ,
,,,,,,,,$98.94  ,$98.94  
,,,,,,,,,
,04/23/2021,Pledge,1181,No,Jack Henry & Associates,,Accounts Receivable (A/R),"1,500.00  ",
,,,,No,,Tier 2 Sponsor benefits for 12 months,Devs Revenue:Devs Sponsorships,,"1,500.00  "
,,,,,,,,"$1,500.00  ","$1,500.00  "
,,,,,,,,,
,05/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,05/03/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,05/03/2021,Expenditure,,No,Amazon Web Services,,Devs Checking (7527),,9.98  
,,,,No,,DBT CRD 0136 DBXCN325 AMAZON WEB SERVICES AWS.AMAZON.CO WA C#4443,Devs:Devs Software & Hosting,9.98  ,
,,,,,,,,$9.98  ,$9.98  
,,,,,,,,,
,05/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,05/07/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,05/07/2021,Expenditure,,No,Pizza Hut (Grant),,Devs Checking (7527),,71.45  
,,,,No,,DBT CRD 1457 DBUCM PIZZA HUT 004082 4178638722 MO C#4443,Devs:Devs Member Meals,71.45  ,
,,,,,,,,$71.45  ,$71.45  
,,,,,,,,,
,06/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,06/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,06/04/2021,Expenditure,,No,Amazon Web Services,,Devs Checking (7527),,10.22  
,,,,No,,DBT CRD 0835 DBVW5ODF AMAZON WEB SERVICES AWS.AMAZON.CO WA C#4443,Devs:Devs Software & Hosting,10.22  ,
,,,,,,,,$10.22  ,$10.22  
,,,,,,,,,
,06/04/2021,Expenditure,,No,Pizza Hut (Grant),,Devs Checking (7527),,73.99  
,,,,No,,DBT CRD 1454 DBIQT36L PIZZA HUT 004082 4178638722 MO C#4443,Devs:Devs Member Meals,73.99  ,
,,,,,,,,$73.99  ,$73.99  
,,,,,,,,,
,06/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,06/09/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,06/24/2021,Payment,,No,Jack Henry & Associates,,Devs Checking (7527),"1,500.00  ",
,,,,No,,,Accounts Receivable (A/R),,"1,500.00  "
,,,,,,,,"$1,500.00  ","$1,500.00  "
,,,,,,,,,
,07/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,07/01/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,07/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,07/06/2021,Expenditure,,No,Amazon Web Services,,Devs Checking (7527),,9.96  
,,,,No,,DBT CRD 0416 DBXE0VQF AMAZON WEB SERVICES AWS.AMAZON.CO WA C#4443,Devs:Devs Software & Hosting,9.96  ,
,,,,,,,,$9.96  ,$9.96  
,,,,,,,,,
,07/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,07/09/2021,Expenditure,,No,Pizza Hut (Grant),,Devs Checking (7527),,122.78  
,,,,No,,DBT CRD 1113 DBBXKMPK PIZZA HUT 004082 4178638722 MO C#4443,Devs:Devs Member Meals,122.78  ,
,,,,,,,,$122.78  ,$122.78  
,,,,,,,,,
,07/12/2021,Expenditure,,No,,,Devs Checking (7527),,39.96  
,,,,No,,"DBT CRD 1137 DBV8SOB7 NAME.COM, INC 7202492374 CO C#4443",Devs:Devs Office Supplies,39.96  ,
,,,,,,,,$39.96  ,$39.96  
,,,,,,,,,
,07/27/2021,Pledge,1182,No,World Wide Technology,,Accounts Receivable (A/R),"1,500.00  ",
,,,,No,,Tier 2 Sponsor benefits for 12 months,Devs Revenue:Devs Sponsorships,,"1,500.00  "
,,,,,,,,"$1,500.00  ","$1,500.00  "
,,,,,,,,,
,08/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),,Accounts Payable (A/P),,20.00  
,,,,No,,Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,08/02/2021,Bill Payment (Check),,No,Logic Forte (QuickBooks Subscription),,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,08/03/2021,Expenditure,,No,Amazon Web Services,,Devs Checking (7527),,10.26  
,,,,No,,DBT CRD 2013 DBV1DGK3 AMAZON WEB SERVICES AWS.AMAZON.CO WA C#4443,Devs:Devs Software & Hosting,10.26  ,
,,,,,,,,$10.26  ,$10.26  
,,,,,,,,,
,08/05/2021,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00  
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,08/06/2021,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00  
,,,,No,,,Accounts Payable (A/P),20.00  ,
,,,,,,,,$20.00  ,$20.00  
,,,,,,,,,
,08/06/2021,Expenditure,,No,Pizza Hut (Grant),,Devs Checking (7527),,60.91  
,,,,No,,DBT CRD 1215 DBYIB8HS PIZZA HUT 004082 4178638722 MO C#4443,Devs:Devs Member Meals,60.91  ,
,,,,,,,,$60.91  ,$60.91  
,,,,,,,,,
,08/18/2021,Pledge,1183,No,O'reilly Auto,,Accounts Receivable (A/R),"1,400.00  ",
,,,,No,,Tier 2 Sponsor benefits for 12 months,Devs Revenue:Devs Sponsorships,,"1,500.00  "
,,,,No,,Discount,Discounts given,100.00  ,
,,,,,,,,"$1,500.00  ","$1,500.00  "
,,,,,,,,,
,08/30/2021,Payment,,No,O'reilly Auto,Paid via QuickBooks Payments: Payment ID MU0026764343,Undeposited Funds,"1,400.00  ",
,,,,No,,,Accounts Receivable (A/R),,"1,400.00  "
,,,,,,,,"$1,400.00  ","$1,400.00  "
,,,,,,,,,
,08/30/2021,Deposit,,No,O'reilly Auto,System-recorded deposit for QuickBooks Payments,Devs Checking (7527),"1,400.00  ",
,,,,No,,Paid via QuickBooks Payments: Payment ID MU0026764343,Undeposited Funds,,"1,400.00  "
,,,,,,,,"$1,400.00  ","$1,400.00  "
,,,,,,,,,
,08/30/2021,Expenditure,,No,QuickBooks Payments,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs Checking (7527),,40.85  
,,,,No,,"System-recorded fee for QuickBooks Payments. Fee-name: DiscountRateFee, fee-type: Daily.",Devs:Devs Payment Fees (Intuit),40.85  ,
,,,,,,,,$40.85  ,$40.85  
,,,,,,,,,
,08/31/2021,Expenditure,,No,Printful,,Devs Checking (7527),,17.99  
,,,,No,,"DBT CRD 0107 DB4JV2Y1 PRINTFUL, INC. CHARLOTTE NC C#4443",Supplies & Materials,17.99  ,
,,,,,,,,$17.99  ,$17.99  
,,,,,,,,,
TOTAL,,,,,,,,"$13,971.85  ","$13,971.85  "
,,,,,,,,,
,,,,,,,,,
"Thursday, Sep 30, 2021 09:08:19 AM GMT-7",,,,,,,,,
