Springfield Devs,,,,,,,,
Transaction Detail by  Account,,,,,,,,
January - December 2021,,,,,,,,
,,,,,,,,
,Date,Transaction Type,Num,Adj,Name,Memo/Description,Split,Amount
,10/18/2021,Expenditure,,No,Name.com,"DBT CRD 1133 DBVR2GLC NAME.COM, INC 7202492374 CO C#4443",Devs Checking (7527),19.98  
,11/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Accounts Payable (A/P),20.00  
,11/03/2021,Expenditure,,No,Amazon Web Services,DBT CRD 2156 DBJD76UR AMAZON WEB SERVICES AWS.AMAZON.CO WA C#4443,Devs Checking (7527),10.25  
,11/05/2021,Bill,,No,Microsoft Corporation,Office 365 Business Essentials ($5/mo/user),Accounts Payable (A/P),20.00  
,11/08/2021,Expenditure,,No,,"DBT CRD 1148 DBBLNGIR NAME.COM, INC 7202492374 CO C#4443",Devs Checking (7527),19.98  
,12/01/2021,Bill,,No,Logic Forte (QuickBooks Subscription),Intuit QuickBooks Essentials ($40/month) - Reimburse Actual Cost,Accounts Payable (A/P),20.00  
,12/03/2021,Expenditure,,No,Amazon Web Services,DBT CRD 0609 DBYNKASC AMAZON WEB SERVICES AWS.AMAZON.CO WA C#4443,Devs Checking (7527),9.96  
,12/05/2021,Bill,,No,Microsoft Corporation,Office 365 Business Essentials ($5/mo/user),Accounts Payable (A/P),20.00  
   Total for Devs Software & Hosting,,,,,,,,"$1,119.77  "
Total for Devs,,,,,,,,"$3,548.11  "
Supplies & Materials,,,,,,,,
,08/31/2021,Expenditure,,No,Printful,"DBT CRD 0107 DB4JV2Y1 PRINTFUL, INC. CHARLOTTE NC C#4443",Devs Checking (7527),17.99  
Total for Supplies & Materials,,,,,,,,$17.99  
,,,,,,,,
,,,,,,,,
"Sunday, Jan 16, 2022 06:46:20 PM GMT-8 - Accrual Basis",,,,,,,,
