Springfield Devs,,,,,,,,,
Journal,,,,,,,,,
January - December 2019,,,,,,,,,
,,,,,,,,,
,Date,Transaction Type,Num,Adj,Name,Memo/Description,Account,Debit,Credit
,,,,,,,,,
,09/05/2019,Payment,,No,EmergencMe,,Devs Checking (7527),500.00   ,
,,,,No,,,Accounts Receivable (A/R),,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/05/2019,Deposit,,No,PayPal Payment Fees,,Devs Checking (7527),0.01   ,
,,,,No,,VERIFYBANK PAYPAL PAYPALRD33            19/09/05,Devs:Devs Payment Fees (PayPal),,0.01   
,,,,,,,,$0.01   ,$0.01   
,,,,,,,,,
,09/05/2019,Deposit,,No,PayPal Payment Fees,,Devs Checking (7527),0.06   ,
,,,,No,,VERIFYBANK PAYPAL PAYPALRD33            19/09/05,Devs:Devs Payment Fees (PayPal),,0.06   
,,,,,,,,$0.06   ,$0.06   
,,,,,,,,,
,09/05/2019,Expenditure,,No,PayPal Payment Fees,,Devs Checking (7527),,0.07   
,,,,No,,VERIFYBANK PAYPAL PAYPALRD33            19/09/05,Devs:Devs Payment Fees (PayPal),0.07   ,
,,,,,,,,$0.07   ,$0.07   
,,,,,,,,,
,09/05/2019,Bill,,No,Microsoft Corporation,,Accounts Payable (A/P),,20.00   
,,,,No,,Office 365 Business Essentials ($5/mo/user),Devs:Devs Software & Hosting,20.00   ,
,,,,,,,,$20.00   ,$20.00   
,,,,,,,,,
,09/06/2019,Bill,,No,Kutak Rock,,Accounts Payable (A/P),,86.25   
,,,,No,,"Revise articles and bylaws, discuss conflict of interest policy",Devs:Devs Legal,60.00   ,
,,,,No,,Filing Fees for Articles of Incorporation,Devs:Devs Legal,26.25   ,
,,,,,,,,$86.25   ,$86.25   
,,,,,,,,,
,09/09/2019,Bill Payment (Check),,No,Microsoft Corporation,,Devs Checking (7527),,20.00   
,,,,No,,,Accounts Payable (A/P),20.00   ,
,,,,,,,,$20.00   ,$20.00   
,,,,,,,,,
,09/15/2019,Bill,QSI-763090,No,Quality Logo Products,,Accounts Payable (A/P),,288.72   
,,,,No,,"Springfield Devs Mugs for Founding Sponsors
Q55335 Kona Joe Ceramic Mug (14 Oz.) 72@2.51
Imprint Front
Imprint Back
Setup Charge 52.98
Shipping 55.02",Devs:Devs Membership Gifts,288.72   ,
,,,,,,,,$288.72   ,$288.72   
,,,,,,,,,
,09/15/2019,Bill,,No,Pizza Hut (Grant),,Accounts Payable (A/P),,201.88   
,,,,No,,"Pizza for Dev Night
3 Medium Original Pan
10 Medium Hand Tossed
6 Soda 2L
3 Double Order Breadsticks
2 Stuffed Garlic Knots
2 Cinnabon Mini Rolls
3 Cheese Stuffed Pizza
2 Buffalo Wings
Plates/Cups/Napkins for 55",Devs:Devs Member Meals,201.88   ,
,,,,,,,,$201.88   ,$201.88   
,,,,,,,,,
,09/17/2019,Bill Payment (Check),,No,Quality Logo Products,,Devs Checking (7527),,288.72   
,,,,No,,,Accounts Payable (A/P),288.72   ,
,,,,,,,,$288.72   ,$288.72   
,,,,,,,,,
,09/18/2019,Pledge,1004,No,Logic Forte,Founding Member (Jason Klein),Accounts Receivable (A/R),25.00   ,
,,,,No,,"Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits.
Jason Klein, Logic Forte (50% Founding Sponsor Discount)",Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,09/18/2019,Pledge,1005,No,Logic Forte,Founding Member (Pamela Klein),Accounts Receivable (A/R),25.00   ,
,,,,No,,"Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits.
Pamela Klein, Logic Forte (50% Founding Sponsor Discount)",Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,09/18/2019,Expenditure,,No,PayPal Payment Fees,"Transaction ID: 9SJ173486A3496644
https://www.paypal.com/activity/payment/9SJ173486A3496644",Devs PayPal,,1.03   
,,,,No,,,Devs:Devs Payment Fees (PayPal),1.03   ,
,,,,,,,,$1.03   ,$1.03   
,,,,,,,,,
,09/18/2019,Payment,,No,Logic Forte,,Devs PayPal,25.00   ,
,,,,No,,,Accounts Receivable (A/R),,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,09/18/2019,Bill,12257988,No,Missouri Secretary of State,,Accounts Payable (A/P),,10.50   
,,,,No,,Change of Registered Agent and/or Registered Office Address (Corp 59) (D),Devs:Devs Taxes & Licenses,10.50   ,
,,,,,,,,$10.50   ,$10.50   
,,,,,,,,,
,09/19/2019,Transfer,,No,,https://www.paypal.com/activity/payment/4UD19920645176152,Devs PayPal,,23.97   
,,,,No,,https://www.paypal.com/activity/payment/4UD19920645176152,Devs Checking (7527),23.97   ,
,,,,,,,,$23.97   ,$23.97   
,,,,,,,,,
,09/20/2019,Bill,26191,No,Missouri Embroidery,,Accounts Payable (A/P),,590.75   
,,,,No,,"Springfield Devs Shirts for Founding Sponsors
Bella + Canvas Women 8413 4@13
Bella + Canvas Men 3413 35@12.00
Setup 25
Sizes Over XL 3
Shipping 10
Sales Tax 42.77
Credit Card Charge 3.5% 19.98",Devs:Devs Membership Gifts,590.75   ,
,,,,,,,,$590.75   ,$590.75   
,,,,,,,,,
,09/20/2019,Bill Payment (Check),,No,Missouri Secretary of State,,Devs Checking (7527),,10.50   
,,,,No,,,Accounts Payable (A/P),10.50   ,
,,,,,,,,$10.50   ,$10.50   
,,,,,,,,,
,09/23/2019,Bill Payment (Check),,No,Kutak Rock,,Devs Checking (7527),,86.25   
,,,,No,,,Accounts Payable (A/P),86.25   ,
,,,,,,,,$86.25   ,$86.25   
,,,,,,,,,
,09/25/2019,Bill,112-3305835-6697004,No,Amazon Shopping,Shipped to Springfield Devs % Myke Bates. Paid by Jason Klein on 09/25/2019. Need to reimburse.,Accounts Payable (A/P),,276.40   
,,,,No,,"DEVS Streaming Equipment: 
Mactrem PT55 Travel Camera Tripod, 
Logitech C920S HD Pro Webcam, 
Cable Matters Ultra Thin HDMI Cable 6FT 2PK, 
Blue Snowball iCE Condenser Microphone, 
Cardioid - Black, MiraBox Capture Card USB 3.0 HDMI HSV321",Devs:Devs Hardware,276.40   ,
,,,,,,,,$276.40   ,$276.40   
,,,,,,,,,
,09/28/2019,Payment,,No,Logic Forte,Paid via QuickBooks Payments: Payment ID anl8nqs1,Undeposited Funds,25.00   ,
,,,,No,,,Accounts Receivable (A/R),,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,09/28/2019,Pledge,1006,No,Classy Llama,,Accounts Receivable (A/R),600.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Greg Johnson,Devs Revenue:Devs Memberships,,25.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Jonathan Hodges,Devs Revenue:Devs Memberships,,25.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Matt Johnson,Devs Revenue:Devs Memberships,,25.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Stephen Biston,Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$600.00   ,$600.00   
,,,,,,,,,
,09/28/2019,Pledge,1007,No,Self Interactive,,Accounts Receivable (A/R),525.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Charlie Rosenbury,Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$525.00   ,$525.00   
,,,,,,,,,
,09/28/2019,Pledge,1008,No,Ion Wave Technologies,,Accounts Receivable (A/R),575.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Steve Dettmers,Devs Revenue:Devs Memberships,,25.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Jeff Berry,Devs Revenue:Devs Memberships,,25.00   
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Christopher Wilding,Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$575.00   ,$575.00   
,,,,,,,,,
,09/28/2019,Pledge,1009,No,Mostly Serious,Founding Sponsor of Springfield Devs,Accounts Receivable (A/R),500.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/28/2019,Pledge,1010,No,Gravitate Solutions,,Accounts Receivable (A/R),500.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/28/2019,Pledge,1011,No,WebArc Technologies,,Accounts Receivable (A/R),500.00   ,
,,,,No,,Founding Sponsor of Springfield Devs. Lifetime recognition plus benefits through December 2022.,Devs Revenue:Devs Sponsorships,,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/28/2019,Payment,,No,WebArc Technologies,Paid via QuickBooks Payments: Payment ID PG0252528562,Undeposited Funds,500.00   ,
,,,,No,,,Accounts Receivable (A/R),,500.00   
,,,,,,,,$500.00   ,$500.00   
,,,,,,,,,
,09/28/2019,Pledge,1012,No,Erik Hansen,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Erik Hansen,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1013,No,Eric Schumann,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Eric Schumann,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1014,No,Frederick Lawler,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Frederick Lawler,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1015,No,Andrew Rowell,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Andrew Rowell,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1016,No,Brenden Reeves,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Brenden Reeves,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1017,No,Dylan Buehler,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Dylan Buehler,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1018,No,Heba Elkordy,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Heba Elkordy,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Payment,,No,Dylan Buehler,Paid via QuickBooks Payments: Payment ID PI0258452150,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1019,No,Bec Braughton,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Rebecca ‘Bec’ Braughton,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1020,No,Tiffany Ford,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/benefits. No mug. Tiffany Ford,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1021,No,Jeremy Willman,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Jeremy Willman,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1022,No,David Hamilton,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. David Hamilton,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1023,No,Benjamin Stange,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Benjamin Stange,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1024,No,Anthony Maughan,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus mug/benefits. No shirt. Anthony Maughan,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1025,No,Rich Clingman,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Rich Clingman,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1026,No,James  Jorgensen,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. James Jorgensen,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1027,No,Amber Gillenwaters,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Amber Gillenwaters,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1028,No,Smokie Lee,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Smokie Lee,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Pledge,1029,No,Mark Stepp,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Mark Stepp,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Payment,,No,Amber Gillenwaters,Paid via QuickBooks Payments: Payment ID PI0258453453,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Payment,,No,Eric Schumann,Paid via QuickBooks Payments: Payment ID PK0249263750,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Payment,,No,Frederick Lawler,Paid via QuickBooks Payments: Payment ID PG0252661699,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/28/2019,Payment,,No,James  Jorgensen,Paid via QuickBooks Payments: Payment ID PG0252662833,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1030,No,Ben Pomerenke,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Ben Pomerenke,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1031,No,Greg Melton,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Greg Melton,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1032,No,Jordan McAdoo,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Jordan McAdoo,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1033,No,Zak Lampert,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Zak Lampert,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1034,No,Christopher Wilding,Voided - Billed to Ion Wave per John Alexander,Accounts Receivable (A/R),0.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Christopher Wilding,Devs Revenue:Devs Memberships,0.00   ,
,,,,,,,,$0.00   ,
,,,,,,,,,
,09/29/2019,Pledge,1035,No,Tylor Hindery,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Tylor Hindery,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1036,No,Jack Ford,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Jack Ford,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1037,No,Kevin Wyas,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Kevin Wyas,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1038,No,Jason Amschler,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Jason Amschler,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1039,No,David Alger,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. David Alger,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Pledge,1042,No,Shawna Baron,,Accounts Receivable (A/R),25.00   ,
,,,,No,,"Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Shawna Baron, Hearo Technologies (50% Founding Sponsor Discount)",Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,09/29/2019,Payment,,No,David Alger,Paid via QuickBooks Payments: Payment ID PI0258550322,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/29/2019,Payment,,No,Erik Hansen,Paid via QuickBooks Payments: Payment ID anle28t3,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/30/2019,Payment,,No,Shawna Baron,Paid via QuickBooks Payments: Payment ID PI0258571125,Undeposited Funds,25.00   ,
,,,,No,,,Accounts Receivable (A/R),,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,09/30/2019,Payment,,No,Tylor Hindery,Paid via QuickBooks Payments: Payment ID PG0252802837,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/30/2019,Payment,,No,Greg Melton,Paid via QuickBooks Payments: Payment ID PG0252821260,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/30/2019,Payment,,No,Heba Elkordy,Paid via QuickBooks Payments: Payment ID PI0258613801,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/30/2019,Payment,,No,Anthony Maughan,Paid via QuickBooks Payments: Payment ID PI0258624760,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/30/2019,Payment,,No,Benjamin Stange,Paid via QuickBooks Payments: Payment ID anlh21nn,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/30/2019,Pledge,1043,No,Justin Taylor,,Accounts Receivable (A/R),50.00   ,
,,,,No,,Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Justin Taylor,Devs Revenue:Devs Memberships,,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,09/30/2019,Payment,,No,Rich Clingman,Paid via QuickBooks Payments: Payment ID PI0258768695,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
,10/01/2019,Pledge,1040,No,Thomas Rankin,,Accounts Receivable (A/R),25.00   ,
,,,,No,,"Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Thomas Rankin, Hearo Technologies (50% Founding Sponsor Discount)",Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,10/01/2019,Pledge,1041,No,Levi Zitting,,Accounts Receivable (A/R),25.00   ,
,,,,No,,"Founding Member of Springfield Devs. Lifetime recognition plus shirt/mug benefits. Levi Zitting, EmergencMe (50% Founding Sponsor Discount)",Devs Revenue:Devs Memberships,,25.00   
,,,,,,,,$25.00   ,$25.00   
,,,,,,,,,
,10/01/2019,Payment,,No,Jeremy Willman,Paid via QuickBooks Payments: Payment ID PI0258875047,Undeposited Funds,50.00   ,
,,,,No,,,Accounts Receivable (A/R),,50.00   
,,,,,,,,$50.00   ,$50.00   
,,,,,,,,,
